id,agencyName,type_,minimalProjectPrice,numberOfEmployees,dateOfFoundation,locationOfHeadOffice,fullNameOfTheChairman,theMainEnvironmentForAds
1,Nisi Cum Associates,Full-service,2340,46,2022-12-01 ,Overland Park,Arsenio Hobbs,TV
2,Faucibus Ltd,Full-service,6266,249,2022-08-18 ,Chaumont-Gistoux,Doris Goodman,TV
3,Arcu LLC,Digital,4732,310,2022-12-11 ,Burlington,William Pace,Radio
4,Accumsan Neque Associates,Digital,6958,215,2022-08-04 ,Columbus,Jasmine Noble,Radio
5,Venenatis Corp.,Traditional,9803,260,2021-05-11 ,Waterloo,Xanthus Rodriguez,Internet
6,Nulla Ante Industries,Traditional,6526,160,2021-04-28 ,Naperville,Brennan Cortez,Internet
7,Urna Et Corp.,Full-service,8486,197,2022-12-06 ,Tielrode,Nichole Harding,Paper_editions
8,Integer Inc.,Full-service,9258,80,2021-09-28 ,Moignelee,Ginger Dejesus,Paper_editions
9,Velit Egestas Lacinia Foundation,Digital,3245,396,2021-07-25 ,Cedar Rapids,Jonas Knapp,TV
10,Nec Urna Corp.,Digital,5124,50,2022-12-11 ,Flawinne,Laith Austin,TV
11,Curae Donec Tincidunt Industries,Traditional,3735,44,2021-03-04 ,Idaho Falls,Reese Mcintyre,Radio
12,Nulla In Corp.,Traditional,7346,146,2021-12-21 ,Ukkel,Eagan Hewitt,Radio
13,Posuere Cubilia Industries,Full-service,4134,104,2021-08-26 ,Sainte-Ode,Todd Moses,Internet
14,Nam Consequat Dolor PC,Full-service,4493,205,2021-12-12 ,Omaha,Eve Boyle,Internet
15,Semper Et Foundation,Digital,5137,349,2022-10-23 ,CŽroux-Mousty,Shana Tanner,Paper_editions
16,Aenean Eget Institute,Digital,9805,292,2022-03-23 ,Sterling Heights,Karly George,Paper_editions
17,Parturient Montes Associates,Traditional,8133,172,2022-08-03 ,Honolulu,Zena Goodwin,TV
18,Viverra Donec PC,Traditional,6701,317,2022-01-24 ,Sprimont,Carl Roberson,TV
19,Commodo LLP,Full-service,3334,266,2022-04-01 ,Forges,Sydnee Garrett,Radio
20,Nulla Facilisis Suspendisse LLC,Full-service,5797,92,2021-12-31 ,Hillsboro,Jerome Rosales,Radio
21,Metus In Nec LLP,Digital,6605,100,2022-10-18 ,Kenosha,Sonia Donovan,Internet
22,Lacus Aliquam PC,Digital,3453,394,2021-08-17 ,Rockford,Piper Fernandez,Internet
23,Aliquet Associates,Traditional,7025,213,2021-01-21 ,Harnoncourt,Scott Lancaster,Paper_editions
24,Dis Parturient Montes Institute,Traditional,9746,306,2021-02-13 ,Dallas,Hollee Davis,Paper_editions
25,Sed Sapien Nunc Ltd,Full-service,4697,66,2021-01-08 ,Lambusart,Alfonso Frank,TV
