id,fullName,customerType,amountAllocatedForService
1,Hollee Beard,private_persone,31225
2,Grady Robinson,private_persone,80588
3,Yoshio Cochran,legal_entity,4937
4,Eve William,legal_entity,84091
5,Shea Alford,private_persone,76764
6,Jessamine English,private_persone,77893
7,Clark Hardin,legal_entity,23797
8,Christopher David,legal_entity,52005
9,Megan Hartman,private_persone,4696
10,Maris Byers,private_persone,11160
11,Christine Hurst,legal_entity,70529
12,Aquila Pittman,legal_entity,80199
13,Hilel Hart,private_persone,93602
14,Tiger Dodson,private_persone,89248
15,Brooke Whitley,legal_entity,46712
16,Octavius Aguirre,legal_entity,41409
17,Yoko Stanton,private_persone,60691
18,Blake Allison,private_persone,85504
19,Belle Barton,legal_entity,92806
20,Burke Kirk,legal_entity,61269
21,Pandora Tran,private_persone,48289
22,Nelle Watkins,private_persone,21849
23,Martin Kirk,legal_entity,9917
24,Macaulay Roberts,legal_entity,67801
25,Ferdinand Grimes,private_persone,21302
26,Colby Jordan,private_persone,48348
27,Giacomo Abbott,legal_entity,54603
28,Francesca Collins,legal_entity,35846
29,Drake Wallace,private_persone,34756
30,Gisela Acosta,private_persone,11283
31,Sylvia Mayo,legal_entity,84315
32,Lareina Ray,legal_entity,21609
33,Tatyana Austin,private_persone,16570
34,Eleanor Mcknight,private_persone,18541
35,Joelle Francis,legal_entity,7005
36,Addison Steele,legal_entity,47622
37,Kim Wilkins,private_persone,42966
38,Alexander Quinn,private_persone,22860
39,Steel Perez,legal_entity,49638
40,Margaret Irwin,legal_entity,24817
41,Leila Richard,private_persone,2856
42,Idola Delgado,private_persone,16390
43,Sean Gonzales,legal_entity,41495
44,David Holland,legal_entity,1858
45,Hall Hodge,private_persone,78286
46,Xena Baird,private_persone,84121
47,Tate Pace,legal_entity,94038
48,Ramona Stafford,legal_entity,98012
49,Clarke Hurley,private_persone,74845
50,Jarrod Harding,private_persone,61628
51,Oren Boyer,legal_entity,73119
52,Anne Sandoval,legal_entity,66305
53,Desiree Adkins,private_persone,6639
